2025-04-21 23:53:49.771 | INFO     | common.selenium.selenium_service_normal:start_browser:53 | 设置代理: 127.0.0.1:7890
2025-04-21 23:53:52.785 | DEBUG    | common.selenium.selenium_service_normal:start_browser:68 | 使用User-Agent: Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.685.29 Safari/537.36 Edg/119.0.685.29
2025-04-21 23:53:53.852 | INFO     | common.selenium.selenium_service_normal:start_browser:83 | 浏览器启动成功
2025-04-21 23:53:53.852 | INFO     | common.log.logger:wrapper:109 | 函数 start_browser 执行成功，耗时: 4.081秒
2025-04-21 23:53:55.359 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: send_keys
2025-04-21 23:53:55.359 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9C7FD0>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={'input_content': 'pytest的用法'}
2025-04-21 23:53:55.359 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:53:55.359 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9C7FD0>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={}
2025-04-21 23:53:55.373 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.014秒
2025-04-21 23:53:55.511 | INFO     | common.log.logger:wrapper:109 | 函数 send_keys 执行成功，耗时: 0.151秒
2025-04-21 23:53:56.512 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: send_keys
2025-04-21 23:53:56.512 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9C7FD0>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={'input_content': '\ue007'}
2025-04-21 23:53:56.512 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:53:56.512 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9C7FD0>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={}
2025-04-21 23:53:56.517 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.004秒
2025-04-21 23:53:56.566 | INFO     | common.log.logger:wrapper:109 | 函数 send_keys 执行成功，耗时: 0.055秒
2025-04-21 23:54:02.567 | INFO     | common.selenium.selenium_service_normal:screen_page:328 | 截图保存路径: ./resource/screenshot/screenshot_20250421235402.png
2025-04-21 23:54:02.780 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: start_browser
2025-04-21 23:54:02.780 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9DCE10>, SeleniumConfig(is_headless=False, is_cdp=True, is_dev=True, proxy='127.0.0.1:7890', driver=None)), kwargs={}
2025-04-21 23:54:02.781 | INFO     | common.selenium.selenium_service_normal:start_browser:48 | 启动CDP模式
2025-04-21 23:54:02.781 | INFO     | common.selenium.selenium_service_normal:start_browser:53 | 设置代理: 127.0.0.1:7890
2025-04-21 23:54:06.863 | DEBUG    | common.selenium.selenium_service_normal:start_browser:68 | 使用User-Agent: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96.0
2025-04-21 23:54:07.941 | INFO     | common.selenium.selenium_service_normal:start_browser:83 | 浏览器启动成功
2025-04-21 23:54:07.941 | INFO     | common.log.logger:wrapper:109 | 函数 start_browser 执行成功，耗时: 5.160秒
2025-04-21 23:54:09.490 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: send_keys
2025-04-21 23:54:09.490 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9DCE10>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={'input_content': 'selenium的使用'}
2025-04-21 23:54:09.490 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:54:09.490 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9DCE10>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={}
2025-04-21 23:54:09.500 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.010秒
2025-04-21 23:54:09.636 | INFO     | common.log.logger:wrapper:109 | 函数 send_keys 执行成功，耗时: 0.145秒
2025-04-21 23:54:10.636 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: send_keys
2025-04-21 23:54:10.636 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9DCE10>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={'input_content': '\ue007'}
2025-04-21 23:54:10.636 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:54:10.636 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9DCE10>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={}
2025-04-21 23:54:10.641 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.005秒
2025-04-21 23:54:10.696 | INFO     | common.log.logger:wrapper:109 | 函数 send_keys 执行成功，耗时: 0.059秒
2025-04-21 23:54:16.696 | INFO     | common.selenium.selenium_service_normal:screen_page:328 | 截图保存路径: ./resource/screenshot/screenshot_20250421235416.png
2025-04-21 23:54:16.942 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: start_browser
